SUBJECT,FLOOR,AISLE,ROOM/DESCRIPTION,KEYWORDS
General Heart Health,2,70,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
General Music Reference,1,Case K,Room 4,
General Practice,2,71,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
General Science (P.B.),3,K,,"Paperback, Paper Back"
Genetics,2,9,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Geography,4,East Wall,,"Atlas, World, Countries, Cities, Country, Region, Maps, Map,"
Geology,2,3 - 4,,"Rocks, Metal,"
Georgia ,2,47,,"States, State, US, United States, Southern, South, Atlanta, Savannah,"
Germany (P.B.),3,F,,"Paperback, Paper Back"
Ghost Towns,2,Center,Front of Floor,"Wild West, Western, Gold Rush,"
Gift Books,4,1,,
Gospel Music,1,Case I,Room 4,
Graphic Design,2,21,,"Advertising, Typography, Printing, Digital Media,"
Graphic Novels,1,E.C. Aisle 28,Room 4,"Comic Books,"
Graphology (Handwriting Analysis),2,Center,East Side,"Occult, Personality"
Grass,3,87,,"Gardening, Agriculture"
Great Britain,2,"58, 61-63",,"Country, Countries, Europe"
Greece (Ancient),2,56,,"World History, Europe, Ancient,"
Greece (Modern),2,64,,"Country, Countries, Europe"
Greenhouses,3,87,,"Gardening, Agriculture"
Guatemala,4,55,,"Country, Countries,"
Gulf War (P.B.),3,B,,"Paperback, Paper Back, Military, Army, War,"
Guns,2,9,,"Guns, Weapons, Firearms"
Gynecology/Obstetrics,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Haiti,4,55,,"Countries, Country, Caribbean,"
Ham Radio,4,39,,
Hands,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Handwriting Analysis (Graphology),2,Center,East Side,"Occult, Personality"
Hawaii,2,47,,"States, State, US, United States, Southern, South Pacific, Oceana, Islands, Island, Pearl Harbor, Chain, "
Healthcare Industry,2,76,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Healthcare Organizations,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Hearing,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Hebrew,4,D,,"Jewish, Judaism, Language, Jew, Jews, Israel,"
Hematology (Blood),2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Heraldry,2,10,,"Genealogy,"
Herbs,2,Center,West Side,"Alternative Health, Alternative Medicine"
Heritage Press,1,-,Register Room,
Highschool Education,4,66,,
Hiking/Backpacking,2,8,,"Survival, Camping, Homesteading, Homestead, "
Himalayas,4,54,,"Mountain, Mountains"
Hinduism,2,12,,"Religion,"
Hip-Hop Music,1,Case I,Room 4,
Histology,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
History of Medicine,2,71,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
History of Western Music,1,Case L,Room 4,
History Reference,2,Center,Near Mystery P.B.,
Holocaust,4,G,,"Religion,"
Home Buying (P.B.),3,K,,"Paperback, Paper Back"
Home Care/Hospice,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Home Economics,1,-,Room 3,
Home Improvement,2,28,,"Home improvement, woodworking, repair, interior decorating, "
Home Restoration,2,28,,"Home improvement, woodworking, repair, interior decorating, decor, energy, painting, restoration, remodeling, remodel, DIY, D.I.Y., Do it yourself, kitchen, bath, plumbing, Tile, Stone, Cement, Flooring, Tools, security, locks, storage, decks, outdoors, projects"
"Home Security (Locks, Etc.)",2,28,,"Home improvement, woodworking, repair, interior decorating, decor, energy, painting, restoration, remodeling, remodel, DIY, D.I.Y., Do it yourself, kitchen, bath, plumbing, Tile, Stone, Cement, Flooring, Tools, security, locks, storage, decks, outdoors, projects"
Home Storage,2,28,,"Home improvement, woodworking, repair, interior decorating, decor, energy, painting, restoration, remodeling, remodel, DIY, D.I.Y., Do it yourself, kitchen, bath, plumbing, Tile, Stone, Cement, Flooring, Tools, security, locks, storage, decks, outdoors, projects"
Homesteading,2,8,,"Nature,"
Hormones,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Horror Reference (P.B.),3,F,,"Paperback, Paper Back"
Horses,2,12,,"Animals, Gambling, Betting, Races, Pets,"
Hospice/Home Care,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Hospitals,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Humor,4,17,"Also check Front, Rotating Display Rack","Comedy, Funny,"
Hungary ,2,64,,"Country, Countries,"
Hunting,2,8,,
Hunting Dogs,2,8,,
HVAC ,2,18,,"Technology, Engineering, Heating, Cooling, Trade,"
Hymns,4,Center,Rear,"Religion,"
Hypertension,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Hypoglycemia,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
I.Q.,4,-,-,"Intelligence, Education, Psychology,"
Idaho ,2,47,,"States, State, United States, USA, US, Midwest, Boise"
Illinois ,2,47,,"States, State, United States, USA, US, Midwest, Chicago"
Illustrated Books,1,29,,"Picture Books, Childrens"
Immigration,4,Center,"Rear, West Side",
Immigration (P.B.),3,E,,"Paperback, Paper Back"
Immunology,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Incan History,2,54,,"Mesoamerica,"
India,2,60,,"Country, Countries,"
India (P.B.),3,F,,"Paperback, Paper Back"
Indiana,2,47,,"States, State, United States, USA, US, Midwest,"
Indonesia,4,56,,"Country, Countries,"
Industrial Catalogues,2,18,,"Technology, Engineering,"
Industrial Revolution ,2,57,,"Technology, Engineering,"
Infectious Diseases,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Inflammation,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Insects,2,11,,"Bugs,"
Instrumentation,2,71,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Interior Design,2,42,,Feng Shui
Internal Medicine,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Inventions,2,12,,
Iowa,2,47,,"States, State, United States, USA, US, Midwest,"
Iraq War (P.B.),3,B,,"Paperback, Paper Back, Military, Army, War,"
Ireland,2,59,,"Country, Countries,"
Ireland (P.B.),3,F,,"Paperback, Paper Back"
Islam,2,12,,"Religion,"
Israel,4,E,,"Country, Countries, Middle East,"
Israel-Palestine Conflict,4,E,,"Religion,"
Italy (History),2,65,,"Country, Countries,"
Jamaica,4,55,,"Country, Countries,"
Jane's Military,2,27,,"Military, Army, War,"
Japan,4,56,,"Country, Countries,"
Jazz Music,1,Case P,Room 4,
Jehovah's Witness,4,73,,"Religion,"
Jesuits,4,69,,"Religion,"
Jesus,4,71,,"Religion,"
Jewelry ,2,38,,"antique, accessories, fashion, collectibles,"
JFK Assassnation (P.B.),3,J,,"Paperback, Paper Back,"
Jobs (Careers),4,49,,
Joints/Knees,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Journalism,4,18-19,,
Journalism (P.B.),3,G,,"Paperback, Paper Back"
Journals/Diaries,4,50,,
Judaica,4,D-H,,"Religion,"
Judaica (P.B.),3,G,,"Religion, Paperback, Paper Back"
Judaism,4,D-H,,"Religion,"
Junior High Education,4,66,,
Juvenile Curriculum,4,"H-L, 1, 40",,
Juvenile Delinquents,4,Center,West Side,
Juvenile Nonfiction,4,"2-3, H-L",,
Kennedy Family,4,East Wall,"Rear, Near Aisles 33-36",
Kentucky,2,47,,
Kidney Disease,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Kidneys,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Knees/Joints,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Knights Templar,2,56,,"Military, Army, War,"
Korean Peninsula,4,56,,
Korean War (P.B.),3,B,,"Paperback, Paper Back, Military, Army, War,"
Labor,4,Center,West Side,
Labor (P.B.),3,H,,"Paperback, Paper Back"
Laboratory Tests,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Landscaping,3,87,,
Large Print Books,3,Center,Rear,
Las Vegas ,2,46,,
Latin America,4,55,,
Law,4,Center,West Side,
Lawns,3,87,,
Learning Disability,4,8,,
Lewis & Clark,2,58,,
LGBT,4,21,,
Life After Death ,4,10,,
Life Sciences (P.B.),3,J,,"Paperback, Paper Back,"
Linguistics,4,15-16,,"Speech, Correction, Linguistics, Stuttering, Pathology, Speaking, Speeches, Language, Pronunciation, "
Literary Criticism (P.B.),3,N,,"Paperback, Paper Back,"
Literary Periodicals,3,East Wall,,
Literary Study,3,72-74,,
Locks & Locksmithing,2,28,,"Home improvement, woodworking, repair, interior decorating, decor, energy, painting, restoration, remodeling, remodel, DIY, D.I.Y., Do it yourself, kitchen, bath, plumbing, Tile, Stone, Cement, Flooring, Tools, security, locks, storage, decks, outdoors, projects,"
Logging,3,87,,
London,2,56,,
Louisiana ,2,47,,
Love,4,5,,
LSD,2,69,,"Drugs,"
Magazines,All Floors,-,Check Respective Subjects for Magazine Subject Matter,
Magic (Sleight of Hand),1,10,Register Room,
Maine,2,47,,
Malaya,4,56,,
Malaysia,4,56,,
Marian Apparitions,4,73,,"Religion,"
Marijuana,2,69,,"Drugs,"
Marine Biology,2,10,,
Marriage,4,5,,
Marriage Counceling,4,5,,
Martha Stewart,1,-,Room 3,Cook Books
Martial Arts,1,E.C. Aisle 10,Register Room,
Marxism,4,60,,
Maryland ,2,47,,
Mass/Liturgy,4,73,,"Religion,"
Massachusetts ,2,47,,
Material Science,2,17,,
Mathematics,2,14,,
Med. School Publications,2,71,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Media,3,88,,
Media (P.B.),3,G,,"Paperback, Paper Back,"
Medical,2,"70-76, West Wall",,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Medical (P.B.),3,C,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare, Paperback, Paper Back"
Medical Dictionaries,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Medical Economics,2,70,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Medical Education,2,70,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Medical Ethics,2,70,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Medical Genetics,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Medical Imaging,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Medical Journals/Conferences,2,71,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Medical Politics,2,70,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Medical Reference,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Medical Science,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Medical Statistics,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Medical Stories,2,71,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Medieval Europe,2,56,,
Medieval/Renaissance Music,1,Case L,Room 4,
Meditation,2,12,,
Memory,4,42,,
Men's Health,2,West Wall,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Men's Studies,4,21,,
Men's Studies (P.B.),3,H,,"Paperback, Paper Back"
Mental Handicap,4,8,,
Merck,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Metabolism,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Metal Working,2,41,,
Metallurgy,2,4,,
Metaphysical,2,Center,East Side,"Occult,"
Mexico,4,55,,
Michigan History,1,41-50,Room 4,
Middle Ages/Medieval History,2,55-56,,
Middle East,2,66,,
Middle East (P.B.),3,F,,"Paperback, Paper Back"
Military - General,2,23 - 27,,"Military, Army, War,"
Military History,2,24,,"Military, Army, War,"
Military Industrial Complex (P.B.),3,E,,"Paperback, Paper Back, Military, Army, War,"
Military Miniatures,2,39,,"Military, Army, War,"
Milton (P.B.),3,N,,"Paperback, Paper Back"
Miniatures,2,39,,
Minnesota ,2,47,,
Miracles,4,66,,"Religion,"
Missals,4,73,,"Religion,"
Models (Model Building),4,39,,
Modern Library,1,-,Register Room,
Montana ,2,46,,
Motorcycles,3,83,,"Bike, Bikes, Hogs, Harley Davidson, Cycle"
Motorsport,3,83,,
Motown Music,1,Case I,Room 4,
Mountains,2,6,,
Movie Theaters,3,93,,
Movies,3,78,,
MRI,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Mushrooms,3,86,,"Drugs, Gardening, Agriculture, Foraging, "
Music,1,Cases A-W,Room 4,
Music (P.B.),3,N,,"Paperback, Paper Back"
Music Biographies (P.B.),3,M,,"Paperback, Paper Back"
Music Biography,1,Case D-H,Room 4,
Music by Country,1,Case M,Room 4,
Music Criticism,1,Case N,Room 4,
Music Education,1,Case K,Room 4,
Music Theory,1,Case K,Room 4,
Musical Theater,3,94,,
Musical Theater Biographies,3,94,,
Muskuloskeletal,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Myanmar (Burma),4,56,,
Mystery Magazine (P.B.),3,D,,"Paperback, Paper Back"
Mystery Reference,3,F,,
Mythology,4,14,,Folklore
Mythology (P.B),3,M,,"Paperback, Paper Back, Folklore"
Nabokov (P.B.),3,N,,"Paperback, Paper Back"
Narcotics Anonymous,2,69,,"Drugs, N.A., NA."
NASA,2,33,,
National Geographic,4,Center,"Rear, East Side",
National Geographic Publications,3,91,,
National Parks,2,Center,"Front, Stairwell E.C.",
Native American,2,48 - 49,,
Native American (P.B.),3,G,,"Paperback, Paper Back"
Natural Health (P.B.),2,Center,West Side,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare, Paperback, Paper Back"
Nature,2,5 - 8,,
Nature (P.B.),3,L,,"Paperback, Paper Back"
Nature/Wildlife Conservation,2,7,,
Nautical,3,80,,
Nebraska,2,46,,
Nepal,4,56,,
Nervous System,2,70,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Neurology,2,70,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Nevada ,2,46,,
New England,2,46,,
New Guinea,4,55,,
New Hampshire ,2,46,,
New Jersey ,2,46,,
New Mexico,2,46,,
New Orleans ,2,47,,
New Testaments,4,67,,"Religion,"
New York ,2,46,,
New York City,2,55,,
New Zealand,2,60,,
New Zealand (Travel),4,55,,
Nicaragua,4,55,,
Non-Fiction (P.B.),3,"B, C, F, E, ",,"Paperback, Paper Back"
Non-Monogamy,4,5,,
North Carolina ,2,45,,
North Dakota ,2,45,,
Norway,2,64,,
Nuclear Energy,2,20,,
Nuclear War (P.B.),3,B,,"Paperback, Paper Back, Military, Army, War,"
Nuclear/Atomic Weapons,2,25,,"Military, Army, War,"
Numismatics/Coins,4,West Wall,,"Collecting, Collectibles, Collectible,"
Nursing,2,Center,Middle of Floor,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Nutrition,2,Center,West Side,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare, Alternative Health"
OB/GYN,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
"Obama, Barack",4,34,,American President
Obesity,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Occult,2,Center,East Side,"Occult,"
Occupational Medicine,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Oceanography,2,10,,
Ohio,2,46,,Energy
Oil,2,20,,
Oklahoma ,2,45,,
Oral/Dental Medicine,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Oscars,3,93,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Osteoporosis,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Outdoors/Survival,2,8,,
Overeaters Anonymous,2,37,,
Pacific Islands,4,55,,
Pain (Treatment of),2,70,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Painting (Home Improvement),2,28,,"Home improvement, woodworking, repair, interior decorating, decor, energy, painting, restoration, remodeling, remodel, DIY, D.I.Y., Do it yourself, kitchen, bath, plumbing, Tile, Stone, Cement, Flooring, Tools, security, locks, storage, decks, outdoors, projects"
Paleontology ,2,4,,"Dinosaurs, Archaeology, Fossils, "
Palestine,2,66,,
Palestine-Israel Conflict,4,E,,"Military, Army, War,"
Panama,4,55,,
Parenting,4,9,,
Parliamentary Rules (P.B.),3,H,,"Paperback, Paper Back"
Patents,2,12,,"Inventions,"
Pathology,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Patient Care,2,71,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Pediatrics,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Pennsylvania ,2,45,,
Performer Biographies (P.B.),3,I,,"Paperback, Paper Back"
Personal Finance,4,51,,
Peru,4,55,,
Pest Control,2,28,,
Pesticides,3,87,,"Gardening, Agriculture,"
Pet Fish,2,10,,"Nature, Animals, Pets, Fish, Aquariums, "
Petroleum ,2,20,,
Pets,4,40,,
Pets (P.B),3,M,,"Paperback, Paper Back"
Pharmaceutical,2,76,,
Philately (Stamps),4,51,,"Collecting, Collectible, Collectibles, "
Philippines ,4,56,,
Philosophy,4,37-38,,
Philosophy of Medicine,2,70,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Photo Albums,4,50,,
Photo Books,3,91-92,,
Photography,2,43,,
Physical Handicap,4,8,,
Physician Biographies,2,71,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Physician-Patient Relationships,2,70,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Physics,2,31,,"Science,"
Physiology,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Picture Books,3,91-92,,
Picture Books - Australia,3,92,,
Picture Books - U.S.,3,92,,
Plants,3,87,,
Plays - Anthology,4,28,,
Plays - General,4,61,,
Plumbing,2,28,,"Home improvement, woodworking, repair, interior decorating, decor, energy, painting, restoration, remodeling, remodel, DIY, D.I.Y., Do it yourself, kitchen, bath, plumbing, Tile, Stone, Cement, Flooring, Tools, security, locks, storage, decks, outdoors, projects"
Poet Biographies,3,F,,
Poetry,1,"West Wall, 40",Room 4,
Poetry - Anthology,4,29,,
Poland,2,64,,
Police,4,Center,East Side,
Political Memorabilia,2,39,,
Political Science,4,58-60,,
Pony Express,2,Center,Front of Floor,
Pop-Culture Memorabilia ,2,39,,
Popes,4,70,,"Religion,"
Popular Medicine,2,71,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Popular Music,1,Case H,Room 4,
Popular Science,2,29,,"Science,"
Population (P.B.),3,H,,"Paperback, Paper Back"
Portugal,2,64,,
Postcards,1,Front Counter,Register Room,"Collectible, Collectibles, Collecting"
Poverty,4,12,,
Prayer & Inspiration,4,44,Also on South Wall,"Religion, Inspiration, Prayer"
Prayer Guides,4,"West Wall, 66",,"Religion,"
Precious Metals,2,40,,
Presidential Biographies (P.B.),3,K,,"Paperback, Paper Back"
Presidential Elections,4,35-36,,
Primates,2,6,,
Printing,1,1,Room 2B,Art
Printing / Printmaking,2,21,,
Printmaking,2,21,,"Advertising, Typography, Printing, Digital Media,"
Prison,4,Center,East Side,
Product Design,2,21,,"Advertising, Typography, Printing, Digital Media,"
Pronunciation,2,2,,"Speech, Correction, Linguistics, Stuttering, Pathology, Speaking, Speeches, Language, Pronunciation, "
Protestant (P.B.),4,70-71,,"Paperback, Paper Back, Religion,"
Protestant History,4,66,,"Religion,"
Psych Pharmaceutical,2,76,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare, Psychology"
Psychedelics ,2,69,,"Drugs,"
Psychology,2,35 - 37,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Psychology of Religion,4,66,,"Religion,"
Public Health,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Publishing,4,Center,East Side,"Reference, Writing, "
Puzzles,2,13,,"Games,"
Quilting,3,79,,
Quotations (P.B.),3,L,,"Paperback, Paper Back"
Quotes,2,2,,"Reference,"
Race & The Church,4,66,,"Religion,"
Race Relations,1,-, Room 3C,
Radio - Entertainment,3,88,,
Radio - History,4,21,,
Radio - Reference,4,21,,
Radio - Technical,2,21,,
Radiology,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Railroads,3,50,,
Rainforests,4,55,,
Rap Music,1,Case I,Room 4,
Real Estate,4,50,,
"Records (LP's, etc)",2,Center,"West Side, $2 Unless Otherwise Marked",
Red Cross,2,71,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Reference (General),2,1-3,,
Reference (P.B.),3,L,,"Paperback, Paper Back"
Relationships,4,Center,East Side,
Relationships (Marriage/Divorce) (P.B.),3,H,,"Paperback, Paper Back"
Religion,1,-,Room 1,"Religion,"
Religious Orders,4,69,,"Religion,"
Reproduction,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Resources for the Doctor,2,71,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Respiratory,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Rheumatology,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
River's & Lakes (U.S.),2,55,,"Rivers,"
Rock n' Roll Music,1,Case I,Room 4,
Rocks & Minerals,2,4,,
Roman Empire,2,56,,
Romania ,2,64,,
Roycroft (P.B.),3,N,,"Paperback, Paper Back"
Russia,4,29-30,,
Russian History (P.B.),3,E,,"Paperback, Paper Back"
Sacraments,4,73,,"Religion,"
Saints,4,71,,"Religion,"
Satire (P.B.),3,N,,"Paperback, Paper Back"
Scandinavia,2,64,,
Sci-Fi & Horror Ref. ,3,F,,Science Fiction
Sci-Fi Reference (P.B.),3,F,,"Paperback, Paper Back, Science Fiction"
Sci-Fi/Fantasy Fiction (Overflow),3,D,,Science Fiction
Science,2,29 - 32,,"Science,"
Scientology,2,Center,East Side,"Religion,"
Scotland,2,59,,
Scotland (P.B.),3,F,,"Paperback, Paper Back"
Screen World,3,94,,
Screenplays,3,94,,"Writing, reference,"
Sculptures,1,1,Room 2B,Art
Sea Shells,2,10,,
Self Help,3,West Wall,,
Self Help (P.B.),3,I,,"Paperback, Paper Back"
Self-Defense,4,13,,
Sewing,3,79,,
Sex (P.B.),3,H,,"Paperback, Paper Back"
Sexuality,4,20-21,,
Sexuality and Religion,4,66,,"Religion,"
Shakespeare,4,62,,"Plays, Theater, Writers,"
Sharks,2,10,,
Shipwrecks,3,80,,"Disasters, Disaster"
Shorthand,2,2,,"Reference, Writing, Secretarial,"
"Shroud, The",4,71,,"Religion,"
Signed Books (Obsolete),3,Center,"Center of Floor, Behind Desk","Fiction, Literature, "
Singapore,4,56,,"Country, Countries, Asia,"
Sleep,2,70,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Small Engines,2,18,,"Technology, Engineering,"
Social Work,4,East Wall,,
Socialism,4,60,,"Government, Law,"
Sociology,4,9-13,,
Sociology (P.B.),3,H,,"Paperback, Paper Back"
Sociology of Religion,4,66,,"Religion,"
Solar Power,2,20,,"Energy, Oil, Gas, Coal, Nuclear, Solar,"
Song Books,1,Case Q,Room 4,"Music,"
Sotheby's,1,2,Room 2B,Art
South America,4,55,,"Continent, America, South, Country, Countries,"
South Carolina ,2,45,,"States, State, USA, US, United States of America,"
South Dakota ,2,45,,"States, State, USA, US, United States of America,"
Southwest,2,45,,"Region, United States, USA, US, South,"
Space Exploration,2,33,,"NASA, Cosmos, Universe, Space, Planets, Science, Physics,"
Spain ,2,64,,"Country, Countries"
Spanish Civil War,2,64,,"Spain, World History"
Spanish Colonial History,2,58,,"World History, Spain"
Speech Correction,4,8,,"Speech, Correction, Linguistics, Stuttering, Pathology, Speaking, Speeches, Language, Pronunciation, "
Speech Pathology,4,15-16,,"Speech, Correction, Linguistics, Stuttering, Pathology, Speaking, Speeches, Language, Pronunciation, "
Speeches,4,16,,
Spelling,2,2,,"Reference, Writing, Vocabulary, Dictionary, Thesaurus,"
Sports,1,-,"Room 3A, 3B",
Sports (P.B.),3,L,,"Paperback, Paper Back"
Stand-Up ,3,E.C. 93,,Comedy
Star Trek (P.B.),3,D,,"Paperback, Paper Back"
STD's,2,70,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Stock Market,4,50,,Stocks
Stockholm ,2,64,,"Cities, City, Sweden, Europe"
Stonehenge ,2,59,,"Occult,"
Strange and Unusual,2,Center,East Side,"Occult,"
Stress,2,70,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Stroke/Epilepsy,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Stuttering,4,8,,"Speech, Correction, Linguistics, Stuttering, Pathology, Speaking, Speeches, Language, Pronunciation, "
Style & Usage (P.B.),3,L,,"Paperback, Paper Back"
Suicide,4,10,,
Sunday School,4,66,,"Religion,"
Supreme Court,4,Center,West Side,"Law, Government, Judge, Trial, Court, Constitution, Judiciary,"
